dataset_id	modality	organism	tissue	assay_platform	input_artifact	entrypoint	role	n_samples	n_donors	n_cells_or_spots	n_genes	reference_genome	primary_citation	source_url	license	qc_summary	notes
10x_PBMC_3k_scRNA_2016_S3	scRNA-seq	human	PBMC	10x Chromium	filtered_feature_bc_matrix/	cellranger_mtx	smoke	1.0		2700.0	32738.0					mtx_rows=32738;mtx_cols=2700;mtx_nnz=2286884	downloaded by smoke run; no heavy compute
PBMC3K_PLUS_PBMC10K_INTEGRATION	scRNA-seq	human	PBMC	10x Chromium	data/smoke/pbmc3k_real/filtered_feature_bc_matrix;data/smoke/pbmc10k_v3_real/filtered_feature_bc_matrix	cellranger_mtx	benchmark	2.0		14469.0						multi-input integration run	registered by scrna method-pack run
10x_Visium_Human_Lymph_Node_1p1_cf	Visium	human	lymph_node	10x Visium	data/smoke/visium_human_lymph_node_real	spaceranger_outs	benchmark	1.0		4035.0						visium baseline run (see method_benchmark.tsv)	registered by visium method-pack run
10x_Visium_Human_Lymph_Node_1p1_cf	Visium	human	lymph_node	10x Visium	data/smoke/visium_human_lymph_node_real	spaceranger_outs	benchmark	1.0		4035.0	36601.0					mtx_rows=36601;mtx_cols=4035;mtx_nnz=23717106;n_spots_total=4035;n_spots_in_tissue=4035	registered by visium method-pack run
10x_PBMC_3k_scRNA_2016_S3	scRNA-seq	human	PBMC	10x Chromium	filtered_feature_bc_matrix/	cellranger_mtx	smoke	1.0		2700.0	32738.0					mtx_rows=32738;mtx_cols=2700;mtx_nnz=2286884	downloaded by smoke run; no heavy compute
10x_PBMC3K_PBMC10K_V3_INTEGRATION_PAIR_S3	scRNA-seq	human	PBMC	10x Chromium	data/smoke/pbmc3k_real/filtered_feature_bc_matrix,data/smoke/pbmc10k_v3_real/filtered_feature_bc_matrix	cellranger_mtx	benchmark	2.0		14469.0						multi-input integration run	registered by scrna method-pack run
Mouse_Brain_Visium_10x	Visium	mouse	brain	10x Visium	data/smoke/visium_mouse_brain_real	spaceranger_outs	benchmark			2695.0	32285.0					mtx_rows=32285;mtx_cols=2695;mtx_nnz=15850802;n_spots_total=2695;n_spots_in_tissue=2695	registered by visium method-pack run
10x_PBMC_3k_scRNA_2016_S3	scRNA-seq	human	PBMC	10x Chromium	filtered_feature_bc_matrix/	cellranger_mtx	smoke	1.0		2700.0	32738.0					mtx_rows=32738;mtx_cols=2700;mtx_nnz=2286884	downloaded by smoke run; no heavy compute
10x_PBMC_10k_scRNA	scRNA-seq	human	blood	10x Chromium	data/smoke/pbmc10k_v3_real/filtered_feature_bc_matrix	cellranger_mtx	benchmark	1.0		11769.0	33538.0					mtx_rows=33538;mtx_cols=11769;mtx_nnz=24825783	registered by scrna method-pack run
10x_PBMC_3k_scRNA_2016_S3	scRNA-seq	human	PBMC	10x Chromium	filtered_feature_bc_matrix/	cellranger_mtx	smoke	1.0		2700.0	32738.0					mtx_rows=32738;mtx_cols=2700;mtx_nnz=2286884	downloaded by smoke run; no heavy compute
10x_PBMC_3k_scRNA_2016_S3	scRNA-seq	human	PBMC	10x Chromium	filtered_feature_bc_matrix/	cellranger_mtx	smoke	1.0		2700.0	32738.0					mtx_rows=32738;mtx_cols=2700;mtx_nnz=2286884	downloaded by smoke run; no heavy compute
10x_PBMC_3k_scRNA_2016_S3	scRNA-seq	human	PBMC	10x Chromium	filtered_feature_bc_matrix/	cellranger_mtx	smoke	1.0		2700.0	32738.0					mtx_rows=32738;mtx_cols=2700;mtx_nnz=2286884	downloaded by smoke run; no heavy compute
10x_PBMC_3k_scRNA_2016_S3	scRNA-seq	human	PBMC	10x Chromium	filtered_feature_bc_matrix/	cellranger_mtx	smoke	1.0		2700.0	32738.0					mtx_rows=32738;mtx_cols=2700;mtx_nnz=2286884	downloaded by smoke run; no heavy compute
SMOKE_TOY_10X_MTX	scRNA-seq	human	PBMC	10x Chromium	filtered_feature_bc_matrix/	cellranger_mtx	smoke			80	50					mtx_rows=50;mtx_cols=80;mtx_nnz=200	downloaded by smoke run; no heavy compute
